Borough,Criminal Offences 2023-25
Barking and Dagenham,41131
Barnet,56307
Bexley,33163
Brent,63785
Bromley,47489
Camden,82535
Croydon,68698
Ealing,62698
Enfield,58903
Greenwich,55572
Hackney,65249
Hammersmith and Fulham,43147
Haringey,57989
Harrow,31915
Havering,41332
Hillingdon,52595
Hounslow,53693
Islington,58929
Kensington and Chelsea,45737
Kingston upon Thames,23238
Lambeth,73585
Lewisham,59733
London Heathrow and London City Airports,4627
Merton,27828
Newham,77825
Redbridge,48091
Richmond upon Thames,24156
Southwark,76710
Sutton,26177
Tower Hamlets,72380
Unknown,46588
Waltham Forest,47935
Wandsworth,52366
Westminster,180910
