Borough,Violent Criminal Acts
Barking and Dagenham,14225
Barnet,15571
Bexley,11224
Brent,19433
Bromley,13918
Camden,15009
Croydon,22944
Ealing,20020
Enfield,18087
Greenwich,18393
Hackney,16872
Hammersmith and Fulham,11579
Haringey,15661
Harrow,9730
Havering,12969
Hillingdon,15955
Hounslow,17471
Islington,14221
Kensington and Chelsea,9249
Kingston upon Thames,6593
Lambeth,19250
Lewisham,19081
London Heathrow and London City Airports,871
Merton,8652
Newham,20639
Redbridge,15825
Richmond upon Thames,6059
Southwark,17647
Sutton,9086
Tower Hamlets,20398
Unknown,12149
Waltham Forest,13094
Wandsworth,14514
Westminster,22941
