Year,Cheese/g,Beef and veal/g
1974,105,189
1975,107,215
1976,107,196
1977,108,209
1978,105,211
1979,109,212
1980,110,208
1981,110,179
1982,108,181
1983,113,169
1984,109,161
1985,111,167
1986,118,169
1987,116,173
1988,117,163
1989,115,155
1990,113,134
1991,116,137
1992,113,127
1993,109,120
1994,106,118
1995,108,109
1996,110,93
1997,108,101
1998,103,100
1999,103,101
2000,109,113
2001,112,118
2002,112,118
2003,113,119
2004,110,123
2005,116,120
2006,116,128
2007,119,126
2008,111,111
2009,116,112
2010,118,114
2011,118,112
2012,114,104
2013,118,97
2014,111,101
2015,112,102
2016,115,103
2017,124,102
2018,125,99
2019,123,96
2020,129,97
2021,150,110
2022,135,86
2023,127,85
