,Year,S&P500,USComposite
0,1975,86.16531747484964,77.2023014341082
1,1976,102.01376969473702,89.86642861744714
2,1977,98.18186502608042,98.71011918688578
3,1978,96.11396807716007,117.52511929708814
4,1979,102.97944438268267,136.51674594576397
5,1980,118.64246011158777,168.4745235745869
6,1981,128.05968257359095,203.21150776696584
7,1982,119.62265910799542,188.80051609826467
8,1983,160.47312203509063,285.4277864840662
9,1984,160.43666657947358,248.98515858725895
10,1985,186.73075660006458,290.0936256803839
11,1986,236.3675394815112,367.0438497634161
12,1987,287.1564286247132,402.8674605838836
13,1988,265.88015813412875,374.4430832693228
14,1989,323.05142853752017,437.80952417282833
15,1990,334.6495641072591,409.3219042581225
16,1991,376.02400764586434,491.3115085420154
17,1992,415.6681028825964,598.9508691116755
18,1993,451.5559511941577,714.9104381742932
19,1994,460.416508023701,751.6515081496466
20,1995,541.7190869043744,925.1899605402871
21,1996,670.2171939653841,1164.4496826654367
22,1997,873.0428583054315,1469.0780944824219
23,1998,1084.9306363413534,1793.3222310951508
24,1999,1326.7641470251806,2722.802712003548
25,2000,1427.2210688515315,3783.673341781374
26,2001,1194.365630238645,2035.3384179489815
27,2002,994.3894446627552,1540.5451796330303
28,2003,964.6431075016341,1645.7478085704058
29,2004,1130.325657331611,1985.7728718913409
30,2005,1207.2294432624938,2099.3163074311756
31,2006,1310.4612356239106,2263.4099660926604
32,2007,1477.2196396484376,2578.1713544921877
33,2008,1221.2991669669984,2164.0048091827875
34,2009,947.3808357877085,1843.6966552734375
35,2010,1139.4966897546533,2348.6864534051297
36,2011,1267.6388094463045,2677.4407503642733
37,2012,1379.1660641589797,2965.342175341993
38,2013,1642.9839839859312,3538.761121529507
39,2014,1930.8680468555465,4373.665520535047
40,2015,2061.135979519422,4945.307099726096
41,2016,2094.6512640090214,4987.792947436136
42,2017,2449.076379054096,6235.298913720119
43,2018,2747.1716396484376,7429.1205234375
44,2019,2912.091744350722,7936.015938200324
45,2020,3215.7200782412574,10190.844633556548
46,2021,4271.4223097843005,14366.589466353336
47,2022,4098.514747650025,12231.348531654632
