year,grass,hard,clay
2004,46.015859899223635,43.38022007762964,41.07687553856693
2005,45.767893041844644,42.67828069100054,40.78774683286161
2006,45.374354831809015,42.45632743173889,41.479280734728384
2007,46.567219529503355,43.398605430940805,41.75901681651112
2008,45.9823251252145,43.51046316067161,42.118649788378356
2009,46.18707775258112,43.7179613567782,42.32871692228068
2010,46.618851876560385,43.52687359367564,42.72465347607382
2011,45.93529871962511,42.96720236942247,41.815912138076264
2012,46.55572296943982,42.92652408193983,42.158507292251144
2013,46.087565087293136,43.48296380336498,42.52588098821445
2014,48.05767736223491,44.00714258572979,42.60299906691972
2015,52.91208206267654,44.103965837585484,43.18251262568953
2016,46.72150205759858,43.04726448723192,42.485625763703524
2017,46.55912402449443,43.54510106115911,42.90184614709224
2018,46.47137676054383,44.027449602872714,43.14253157607598
2019,46.392100162668086,45.33568360189038,42.95409228613162
2020,48.954081967778436,45.09193216556926,42.17752787567645
2021,45.99100745486182,44.65331050423652,42.40494940628691
2022,46.49106417809052,45.35328888289178,43.067307644104766
2023,46.233208355099535,45.41439967619667,43.05948463024477
2024,45.437366510189236,45.10069727994852,43.38426300819272

