,Technology,War,Climate,Business,Politics,Sport,Culture,Science,Health
Technology,0.0,7.142857142857142,9.090909090909092,9.090909090909092,11.11111111111111,7.142857142857142,13.20754716981132,20.0,9.090909090909092
War,7.142857142857142,0.0,9.090909090909092,3.4482758620689653,3.4482758620689653,1.694915254237288,5.263157894736842,7.142857142857142,3.4482758620689653
Climate,9.090909090909092,9.090909090909092,0.0,7.142857142857142,7.142857142857142,7.142857142857142,9.090909090909092,9.090909090909092,7.142857142857142
Business,9.090909090909092,3.4482758620689653,7.142857142857142,0.0,7.142857142857142,5.263157894736842,13.20754716981132,7.142857142857142,13.20754716981132
Politics,11.11111111111111,3.4482758620689653,7.142857142857142,7.142857142857142,0.0,11.11111111111111,13.20754716981132,11.11111111111111,5.263157894736842
Sport,7.142857142857142,1.694915254237288,7.142857142857142,5.263157894736842,11.11111111111111,0.0,9.090909090909092,5.263157894736842,5.263157894736842
Culture,13.20754716981132,5.263157894736842,9.090909090909092,13.20754716981132,13.20754716981132,9.090909090909092,0.0,17.647058823529413,9.090909090909092
Science,20.0,7.142857142857142,9.090909090909092,7.142857142857142,11.11111111111111,5.263157894736842,17.647058823529413,0.0,11.11111111111111
Health,9.090909090909092,3.4482758620689653,7.142857142857142,13.20754716981132,5.263157894736842,5.263157894736842,9.090909090909092,11.11111111111111,0.0
